Species,X,Y,NLCD52P,warm
background,2299522,9752564,0.0,100.0
background,2299523,9753320,4.302249,100.0
background,2299524,9753286,3.136531,100.0
background,2299525,9753716,3.481894,100.0
background,2299526,9755416,1.168886,100.0
background,2299527,9753654,0.414938,100.0
background,2299528,9751618,3.460728,100.0
background,2299529,9750542,3.478261,0.0
background,2299530,9753868,0.492611,100.0
background,2299531,9750460,2.648266,100.0
background,2299532,9756608,0.0,100.0
background,2299533,9754552,3.005904,0.0
background,2299534,9750336,3.816794,0.0
background,2299535,9753850,0.0,100.0
background,2299536,9756570,5.142857,100.0
background,2299537,9755016,0.0,0.0
background,2299538,9753522,0.305344,100.0
background,2299539,9752260,0.0,100.0
background,2299540,9752248,0.089352,0.0
background,2299541,9756998,5.399408,100.0
background,2299542,9752886,2.224919,100.0
background,2299543,9753910,1.486225,100.0
background,2299544,9753132,2.111554,100.0
background,2299545,9750448,0.0,0.0
background,2299546,9751712,2.250239,100.0
background,2299547,9756684,1.914632,100.0
background,2299548,9755046,0.0,0.0
background,2299549,9753410,1.318736,100.0
background,2299550,9752894,3.149606,100.0
background,2299551,9753444,4.887218,100.0
background,2299552,9755430,0.073972,100.0
background,2299553,9753280,2.227723,100.0
background,2299554,9753520,4.888284,100.0
background,2299555,9753028,1.902399,100.0
background,2299556,9751498,0.602535,0.0
background,2299557,9754532,0.63762,0.0
background,2299558,9750342,0.256483,0.0
background,2299559,9753314,1.814301,100.0
background,2299560,9752828,0.0,100.0
background,2299561,9756826,0.767987,100.0
background,2299562,9751766,10.846682,100.0
background,2299563,9756736,1.105121,0.0
background,2299564,9753190,5.085639,100.0
background,2299565,9753456,0.0,100.0
background,2299566,9751470,0.0,0.0
background,2299567,9752986,0.0,100.0
background,2299568,9756678,0.0,100.0
background,2299569,9753264,3.329334,100.0
background,2299570,9756588,2.503501,100.0
background,2299571,9754140,0.0,100.0
background,2299572,9753138,4.887218,100.0
background,2299573,9750526,0.0,0.0
background,2299574,9756566,1.582618,100.0
background,2299575,9756724,2.718334,0.0
background,2299576,9752852,6.260297,100.0
background,2299577,9750308,0.425532,0.0
background,2299578,9756698,0.0,100.0
background,2299579,9756718,1.094451,0.0
background,2299580,9755396,2.601981,100.0
background,2299581,9756602,0.0,100.0
background,2299582,9753062,5.216149,100.0
background,2299583,9753732,7.279029,100.0
background,2299584,9756552,8.96861,100.0
background,2299585,9753870,0.729167,100.0
background,2299586,9750384,0.496432,0.0
background,2299588,9753256,12.406015,100.0
background,2299589,9757012,0.0,100.0
background,2299590,9756530,4.43787,100.0
background,2299591,9756666,0.26178,100.0
background,2299592,9753258,0.0,100.0
background,2299593,9750260,0.848176,0.0
background,2299594,9751946,2.879336,100.0
