X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
2302413.0,9731320.0,train,6.325865182675671E-4,39.52445904050016,0.47523118584813
2302429.0,9733376.0,train,5.395773809477692E-4,35.66310443664292,0.43580938357109894
2302485.0,9731500.0,train,0.002629244876732434,89.73010288056359,0.7900917499015059
2303157.0,9731452.0,train,0.002118290701265167,82.19832756570723,0.7520156231352145
2306003.0,1.2034381E7,train,0.001366819713239541,68.74136274590829,0.661787144975956
2306354.0,1.2034315E7,train,0.0033925238918120055,94.67656089571602,0.8292549326537754
2306372.0,1.2034371E7,train,0.0032906230722868908,94.33730599444596,0.8248933360130685
2306425.0,1.2034501E7,train,0.0012006808112639477,63.18762755649671,0.6322009561472265
2306449.0,1.2034181E7,train,0.001707644398075994,74.59046229044101,0.7096936672112568
2306481.0,1.2035577E7,train,2.3086165366495464E-4,16.611513372770894,0.248401704318579
2306486.0,1.2034267E7,train,0.001313276961155076,66.53268278689215,0.6527858456432756
2306490.0,1.2035393E7,train,0.0016489811099582366,74.01954797189904,0.7024390272507725
2306491.0,1.2034615E7,train,6.397298020627125E-4,39.74030684616769,0.4780322725835748
2306508.0,1.2032721E7,train,0.0017301993682173828,75.62249150883875,0.7123896693355519
2306514.0,1.2034803E7,train,9.567420628808513E-4,53.087882315187784,0.5779980134894029
2306586.0,1.2032577E7,train,0.0017878432314554567,76.67185270947688,0.7190576113364784
2306601.0,1.2034363E7,train,9.397790814080887E-4,52.407498814582176,0.5736286143739063
2306602.0,1.2034293E7,train,5.249853280768172E-4,35.045573078088566,0.4290806395589674
2306609.0,1.2034505E7,train,0.0027590556558709416,91.3534992341921,0.7979725031575604
2306621.0,1.2034699E7,train,0.002345820220464473,86.47882770973918,0.7705495705840626
2306628.0,1.2036783E7,train,0.0010864142519606372,58.76737131361275,0.608655566054837
2306643.0,1.2032835E7,train,1.7560075257574658E-4,12.110287476938943,0.20088689575267077
2306644.0,1.2036507E7,train,0.0012329952133899678,64.16181927929438,0.6383542418318552
2306666.0,1.2034373E7,train,0.0022126830752309994,83.62736647497827,0.7600562096131739
2306684.0,1.2035539E7,train,5.111472850242349E-4,33.95100160812252,0.4225496182113052
2306689.0,1.2034633E7,train,0.001201652295663155,63.34714109988008,0.6323889968696862
2306690.0,1.2034327E7,train,0.0011411494211629976,60.53546634589052,0.620299084953733
2306698.0,1.2032811E7,train,8.89768624507361E-4,51.10029310811961,0.5602035117920238
2306724.0,1.2036877E7,train,0.0016925264457754324,74.25020005034258,0.707858142442645
2306733.0,1.2034679E7,train,0.0018511093210324936,77.40973427098852,0.7260288519788444
2306741.0,1.2034257E7,train,0.001711553954534984,74.77441561281425,0.7101645929420194
2306757.0,1.2034555E7,train,0.0022987006802145066,85.08280307447703,0.7669423705507054
2306761.0,1.2032755E7,train,7.87124225114863E-4,46.53675776201676,0.5298177426312646
2306769.0,1.2034657E7,train,0.0014107783811849004,69.75192649279246,0.6688356211051513
2306801.0,1.2034431E7,train,0.0026082296652660815,89.20598593530104,0.7887577337954191
2306807.0,1.2037371E7,train,9.434354046705268E-4,52.65091929877255,0.5745780587010164
2306811.0,1.2034291E7,train,0.0019220912836081156,78.35005048410872,0.7334496244143496
2306822.0,1.2033355E7,train,0.002258816131282589,83.94132111242054,0.7637992116669986
2306833.0,1.2034205E7,train,0.002061777245129948,80.92244736343062,0.7469384814766232
2306839.0,1.2034295E7,train,0.002717195152019611,91.0775222139114,0.7954966069488788
2306840.0,1.2035925E7,train,0.0010377270517451774,56.3358249294725,0.5976816720183922
2306876.0,1.2035561E7,train,6.686138153290238E-4,41.28959365532104,0.4890600509845524
2306879.0,1.2037103E7,train,0.002322927856727797,85.77774950116495,0.7688111156205256
2306885.0,1.2037111E7,train,0.001504163211933598,72.50250683884512,0.6828756042894785
2306888.0,1.2037117E7,train,5.387228931170574E-4,35.52875582463098,0.43541973380723564
2306904.0,1.2037113E7,train,0.003604581727124783,95.38641966815231,0.8376692754237798
2306908.0,1.2032725E7,train,9.756060730937339E-4,54.08710779256426,0.5827531021303897
2306909.0,1.2035415E7,train,0.0017339551148137526,75.79569188959682,0.7128337390544599
2306948.0,1.2037753E7,train,0.0019925885435259235,79.91906563998397,0.7404322577593262
2306956.0,1.2037119E7,train,0.003012696549694164,93.36797252846605,0.8117799276323402
2306975.0,1.2034323E7,train,4.646594001871983E-4,31.788152718235434,0.39947124184656807
2306994.0,1.2036931E7,train,1.4609590011541705E-4,9.903168438096358,0.17297180806741566
2306995.0,1.2037781E7,train,0.0021025061461836534,81.79029996230607,0.7506181661055856
